序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,高雄市,左營區,左營,2017/06/30,"氮氧化物 NOx (ppb)",16,15,16,18,19,19,22,22,25,22,19,21,21,21,22,18,20,24,30,28,25,24,27,24
2,高雄市,左營區,左營,2017/06/30,"風向 WIND_DIREC (degrees)",101,78,89,66,26,30,127,125,103,112,221,219,205,204,200,198,199,200,181,182,198,200,201,32
3,高雄市,左營區,左營,2017/06/30,"臭氧 O3 (ppb)",17,15,11,5.8,4.3,6.1,10,19,25,34,48,20,14,14,9.8,8.1,6.8,3.9,1.8,1.3,1.4,1.2,0.4,0.7
4,高雄市,左營區,左營,2017/06/30,"細懸浮微粒 PM 2.5  (μg/m 3 )",4,1,14,7,16,15,28,15,13,8,13,17,13,10,1,3,5,8,10,5,8,5,10,8
5,高雄市,左營區,左營,2017/06/30,"非甲烷碳氫化合物 NMHC (ppm)",0.1,0.12,0.13,0.16,0.21,0.17,0.22,0.14,0.17,0.15,0.13,0.11,0.09,0.08,0.11,0.09,0.11,0.12,0.19,0.24,0.23,0.14,0.17,0.18
6,高雄市,左營區,左營,2017/06/30,"一氧化碳 CO (ppm)",0.31,0.31,0.3,0.33,0.31,0.3,0.42,0.49,0.58,0.46,0.39,0.24,0.21,0.17,0.19,0.19,0.23,0.26,0.42,0.57,0.54,0.33,0.27,0.3
7,高雄市,左營區,左營,2017/06/30,"一氧化氮 NO (ppb)",1.6,1.4,1.8,1.7,1.5,2.4,5.3,6.9,7.3,5.1,3.5,6.6,8.7,8.5,8.9,5.7,5.4,7.3,9.9,8.1,6.8,6.7,9.2,7.2
8,高雄市,左營區,左營,2017/06/30,"二氧化氮 NO2 (ppb)",14,14,15,16,18,17,16,15,18,17,16,14,13,13,13,12,14,16,20,19,19,17,18,17
9,高雄市,左營區,左營,2017/06/30,"相對濕度 RH (percent)",68,72,75,78,80,80,77,68,59,51,48,58,58,60,65,70,74,74,72,66,64,68,68,69
10,高雄市,左營區,左營,2017/06/30,"懸浮微粒 PM 10  (μg/m 3 )",32,33,27,31,39,41,45,38,39,37,38,41,33,32,37,34,40,28,32,24,24,21,22,18
11,高雄市,左營區,左營,2017/06/30,"甲烷 CH4 (ppm)",1.9,1.9,2,2.1,2.1,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9
12,高雄市,左營區,左營,2017/06/30,"風速 WIND_SPEED (m/sec)",2,1.9,1.3,1.4,1.1,0.6,1.7,2.2,1.6,2.4,2.5,2.4,3.9,5.3,4.8,3.8,4.1,3.7,3.9,3.3,3,1.9,2.5,0.9
13,高雄市,左營區,左營,2017/06/30,"溫度 AMB_TEMP (℃)",29,28,28,28,28,28,29,30,32,33,34,33,33,33,32,31,30,30,30,30,31,30,30,30
14,高雄市,左營區,左營,2017/06/30,"總碳氫化合物 THC (ppm)",2,2.1,2.2,2.3,2.3,2.1,2.2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2,2,2.1
15,高雄市,左營區,左營,2017/06/30,"小時風速值 WS_HR (m/sec)",1.6,1.6,1.5,1.3,1,0.8,0.2,1.8,1.6,2.2,1.6,2.9,3.4,3.9,3.8,4.3,3.7,3.7,3.2,3,2.7,2.3,1.6,0.7
16,高雄市,左營區,左營,2017/06/30,"小時風向值 WD_HR (degrees)",99,97,89,52,67,64,114,126,99,132,162,215,203,202,200,201,200,203,193,186,194,194,205,167
17,高雄市,左營區,左營,2017/06/30,"二氧化硫 SO2 (ppb)",2.6,2.2,3.8,3.2,3.7,3.7,3.9,2.9,2.6,3.9,4.1,4.5,3.5,4,3.5,2.3,2.7,3.8,4.6,8.7,9.1,4.1,8.2,6.1
18,高雄市,左營區,左營,2017/06/29,"氮氧化物 NOx (ppb)",18,14,14,15,22,32,29,17,17,19,16,15,16,7,7.9,6.9,13,39,46,29,22,21,34,23
19,高雄市,左營區,左營,2017/06/29,"風向 WIND_DIREC (degrees)",72,47,26,50,24,37,33,34,310,279,286,309,286,276,258,288,53,201,16,47,30,26,123,123
20,高雄市,左營區,左營,2017/06/29,"臭氧 O3 (ppb)",14,16,15,12,9.6,6.4,10,25,28,35,52,48,38,43,55,56,44,13,6.6,13,14,13,4.9,14
21,高雄市,左營區,左營,2017/06/29,"細懸浮微粒 PM 2.5  (μg/m 3 )",11,16,16,15,16,17,22,17,8,11,18,29,21,18,5,14,16,22,16,18,10,6,3,3
22,高雄市,左營區,左營,2017/06/29,"非甲烷碳氫化合物 NMHC (ppm)",0.14,0.13,0.11,0.25,0.31,0.41,0.23,0.17,0.15,0.09,0.06,0.05,0.02,0.03,0.04,0.02,0.05,0.29,0.33,0.24,0.21,0.18,0.27,0.16
23,高雄市,左營區,左營,2017/06/29,"一氧化碳 CO (ppm)",0.26,0.22,0.21,0.19,0.16,0.26,0.31,0.3,0.32,0.28,0.22,0.25,0.24,0.12,0.16,0.16,0.22,0.68,0.9,0.62,0.51,0.45,0.65,0.43
24,高雄市,左營區,左營,2017/06/29,"一氧化氮 NO (ppb)",1.4,1,0.8,1.3,2,3.9,7.8,3.5,3.7,4.4,3.4,3.6,4.5,2.2,1.8,1.5,1.8,6.2,6.4,2.4,1.9,1.9,5.2,2
25,高雄市,左營區,左營,2017/06/29,"二氧化氮 NO2 (ppb)",16,13,13,14,20,28,21,13,13,15,12,12,11,4.7,6.1,5.4,11,33,40,26,20,19,28,21
26,高雄市,左營區,左營,2017/06/29,"相對濕度 RH (percent)",68,68,71,73,71,71,71,70,69,68,69,65,63,64,65,66,74,82,79,74,72,69,68,67
27,高雄市,左營區,左營,2017/06/29,"懸浮微粒 PM 10  (μg/m 3 )",41,46,45,43,38,32,31,39,44,47,48,52,45,33,27,29,37,41,39,36,33,32,29,35
28,高雄市,左營區,左營,2017/06/29,"甲烷 CH4 (ppm)",1.9,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9
29,高雄市,左營區,左營,2017/06/29,"風速 WIND_SPEED (m/sec)",1.7,1.2,1.3,1.3,1.2,1.8,1.4,2.4,2,3,2.7,3.5,3.5,3.4,2.8,2.5,2.6,1.8,0.9,1.1,1.8,0.5,1.2,1.2
30,高雄市,左營區,左營,2017/06/29,"溫度 AMB_TEMP (℃)",30,30,29,29,28,28,29,30,31,32,32,32,32,32,32,32,29,28,28,28,28,28,29,29
31,高雄市,左營區,左營,2017/06/29,"總碳氫化合物 THC (ppm)",2,2,2,2.2,2.2,2.4,2.2,2.1,2,2,2,1.9,1.8,1.8,1.8,1.8,1.8,2.2,2.2,2.1,2.1,2,2.2,2
32,高雄市,左營區,左營,2017/06/29,"小時風速值 WS_HR (m/sec)",1.7,1.7,0.7,1.1,1,1.1,1.2,1.6,0.9,2.1,2.9,3.2,3.4,3.4,2.8,2.4,2.4,1.1,0.9,1.1,1.5,0.5,0.6,1.1
33,高雄市,左營區,左營,2017/06/29,"小時風向值 WD_HR (degrees)",58,47,64,37,23,30,34,43,360,296,299,299,288,284,274,273,28,187,40,38,24,21,61,120
34,高雄市,左營區,左營,2017/06/29,"二氧化硫 SO2 (ppb)",2.9,4.6,3.4,3.2,5.3,7.2,5.4,3,3.5,4.7,4.8,8.1,9.3,3.4,4.2,3,2.1,3.3,5,3.3,2.8,3.6,5.5,4.7
35,高雄市,左營區,左營,2017/06/28,"氮氧化物 NOx (ppb)",5.9,7,8.9,12,12,12,16,12,17,12,8.3,6.8,6.2,5.1,6,5.4,4.6,8.5,8.4,8.8,8.8,12,16,23
36,高雄市,左營區,左營,2017/06/28,"風向 WIND_DIREC (degrees)",345,338,48,12,334,335,360,306,315,308,297,297,286,286,289,288,298,296,309,316,344,20,24,44
37,高雄市,左營區,左營,2017/06/28,"臭氧 O3 (ppb)",16,16,11,7.3,11,11,13,21,22,25,28,33,30,26,23,20,17,16,14,14,16,12,9.8,4.6
38,高雄市,左營區,左營,2017/06/28,"細懸浮微粒 PM 2.5  (μg/m 3 )",6,7,7,13,8,13,14,10,13,8,16,6,8,6,11,2,1,,13,10,1,4,2,15
39,高雄市,左營區,左營,2017/06/28,"非甲烷碳氫化合物 NMHC (ppm)",0.01,0.01,0.08,0.19,0.1,0.11,0.2,0.09,0.07,0.01,0,0,0,-0.01,0.01,0,0,0.01,0.01,0,0.01,0.11,0.16,0.21
40,高雄市,左營區,左營,2017/06/28,"一氧化碳 CO (ppm)",0.09,0.08,0.15,0.18,0.16,0.2,0.31,0.21,0.21,0.1,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.11,0.11,0.1,0.13,0.29,0.35,0.45
41,高雄市,左營區,左營,2017/06/28,"一氧化氮 NO (ppb)",0.7,0.6,0.6,0.6,1,1.3,2.8,2.7,4.4,3.7,2.2,1.5,1.6,1.6,1.7,1.7,1.2,2.2,1.6,1.3,1.4,1.2,1.3,1.5
42,高雄市,左營區,左營,2017/06/28,"二氧化氮 NO2 (ppb)",5.2,6.4,8.3,12,11,11,13,8.9,13,8,6.2,5.3,4.6,3.6,4.3,3.8,3.4,6.2,6.8,7.5,7.4,10,14,22
43,高雄市,左營區,左營,2017/06/28,"相對濕度 RH (percent)",80,80,80,82,82,82,83,79,75,70,68,68,68,68,69,68,70,70,71,73,76,75,74,72
44,高雄市,左營區,左營,2017/06/28,"懸浮微粒 PM 10  (μg/m 3 )",20,18,28,27,33,35,41,37,37,28,29,25,26,23,19,20,14,15,24,20,13,20,28,40
45,高雄市,左營區,左營,2017/06/28,"甲烷 CH4 (ppm)",1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9
46,高雄市,左營區,左營,2017/06/28,"風速 WIND_SPEED (m/sec)",1.4,1.1,1.5,1.4,1.4,0.8,1.6,1.2,2.5,3.9,3.6,4.2,4.3,4.9,4.8,4.2,2.5,2,2.6,2.3,1.7,0.7,0.8,1.6
47,高雄市,左營區,左營,2017/06/28,"溫度 AMB_TEMP (℃)",29,29,29,29,29,29,29,29,30,31,32,32,32,32,32,32,31,31,30,30,30,30,30,30
48,高雄市,左營區,左營,2017/06/28,"總碳氫化合物 THC (ppm)",1.8,1.8,1.9,2.1,2,2,2.1,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.9,2,2.1
49,高雄市,左營區,左營,2017/06/28,"小時風速值 WS_HR (m/sec)",0.7,0.8,1,0.8,0.7,0.7,0.9,1.2,1.9,3.2,3.2,3.3,3.8,4.2,4.3,3.7,3,1.9,2.2,2.5,1.2,0.5,0.6,0.9
50,高雄市,左營區,左營,2017/06/28,"小時風向值 WD_HR (degrees)",359,345,25,2.7,358,2.7,11,311,302,306,300,293,290,296,288,289,302,308,307,308,329,12,28,38
51,高雄市,左營區,左營,2017/06/28,"二氧化硫 SO2 (ppb)",2.5,3.3,2.5,2.6,2.6,3.5,3.7,3,4.6,4.4,2.8,2.8,2.9,1.9,1.7,1.7,1.2,1.8,1.8,2.7,1.9,3,3.3,3.8
52,高雄市,左營區,左營,2017/06/27,"氮氧化物 NOx (ppb)",4.7,5.1,9.1,9.7,9.9,10,12,14,9.1,7.6,6.6,5.6,6.1,6.8,5.8,6.1,,8.7,7.7,5.2,7.4,9.8,11,9.2
53,高雄市,左營區,左營,2017/06/27,"風向 WIND_DIREC (degrees)",288,300,285,279,339,49,318,309,287,282,282,284,295,292,300,305,302,296,306,332,308,330,312,1.7
54,高雄市,左營區,左營,2017/06/27,"臭氧 O3 (ppb)",15,13,10,8.2,7.5,8.5,12,13,16,21,22,24,24,25,23,20,,17,16,19,16,14,12,14
55,高雄市,左營區,左營,2017/06/27,"細懸浮微粒 PM 2.5  (μg/m 3 )",3,1,11,5,9,5,8,13,18,19,17,9,9,8,4,7,,,14,8,8,4,10,5
56,高雄市,左營區,左營,2017/06/27,"非甲烷碳氫化合物 NMHC (ppm)",0.07,0.03,0.04,0.05,0.13,0.07,0.12,0.05,0.18,0.06,0.01,0.01,0,0.01,0.01,0,,0,0,0.01,0.01,0.01,0.01,0.01
57,高雄市,左營區,左營,2017/06/27,"一氧化碳 CO (ppm)",0.08,0.07,0.07,0.07,0.08,0.13,0.18,0.14,0.12,0.09,0.1,0.09,0.08,0.08,0.08,0.07,,0.1,0.09,0.11,0.13,0.11,0.1,0.09
58,高雄市,左營區,左營,2017/06/27,"一氧化氮 NO (ppb)",0.8,1,1.1,1.4,0.8,1,2.2,4.8,2.4,2,1.9,1.4,1.7,1.9,1.9,2,,1.4,1.2,0.4,0.3,0.7,0.7,1
59,高雄市,左營區,左營,2017/06/27,"二氧化氮 NO2 (ppb)",3.9,4.1,7.9,8.3,9.1,9.5,9.8,9.3,6.8,5.6,4.8,4.2,4.4,4.9,3.9,4.1,,7.3,6.5,4.8,7.1,9.1,10,8.1
60,高雄市,左營區,左營,2017/06/27,"相對濕度 RH (percent)",79,80,81,81,81,80,80,76,73,70,69,69,69,69,69,69,71,74,76,78,78,78,79,80
61,高雄市,左營區,左營,2017/06/27,"懸浮微粒 PM 10  (μg/m 3 )",27,30,33,29,28,29,31,36,27,35,26,26,17,25,30,34,,15,22,26,33,31,27,16
62,高雄市,左營區,左營,2017/06/27,"甲烷 CH4 (ppm)",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,,1.7,1.7,1.7,1.8,1.8,1.8,1.8
63,高雄市,左營區,左營,2017/06/27,"風速 WIND_SPEED (m/sec)",1.9,1.6,0.9,1.2,1.2,1.3,1.2,1.8,2.4,2.6,3.7,3.8,4.3,4.7,4.7,4.5,4.4,4.1,3,1.5,1.1,1.5,1.6,1.9
64,高雄市,左營區,左營,2017/06/27,"溫度 AMB_TEMP (℃)",29,29,29,29,29,29,30,30,31,31,32,32,32,32,32,32,31,30,30,30,30,30,29,29
65,高雄市,左營區,左營,2017/06/27,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,1.9,1.9,2,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,1.7,1.7,1.8,1.8,1.8,1.8,1.8
66,高雄市,左營區,左營,2017/06/27,"小時風速值 WS_HR (m/sec)",1.6,1.2,0.7,0.7,0.8,0.9,0.6,1.2,1.8,2.2,3,3.3,3.8,4.3,4.6,5,4.2,4,3.4,2,1.3,1.3,1.3,1.1
67,高雄市,左營區,左營,2017/06/27,"小時風向值 WD_HR (degrees)",282,301,305,313,283,22,3.8,314,292,291,295,293,294,297,296,301,299,301,307,310,318,319,314,332
68,高雄市,左營區,左營,2017/06/27,"二氧化硫 SO2 (ppb)",2.3,2.1,2.3,2.3,3,2.9,2.9,3.1,3.2,2.5,2.3,2.5,2.8,3.1,2.6,3,,1.9,2.2,1.5,2,2.4,2.5,2.2
69,高雄市,左營區,左營,2017/06/25,"氮氧化物 NOx (ppb)",5.4,4.8,4.8,5.4,16,24,13,8.4,6.9,5.3,4.2,4.3,3.5,2.9,3.5,4.8,4.5,4.5,5.7,7.1,5.9,6.6,7.1,5
70,高雄市,左營區,左營,2017/06/25,"風向 WIND_DIREC (degrees)",306,276,318,347,44,41,47,15,299,279,333,283,300,271,288,251,274,283,272,256,258,265,244,261
71,高雄市,左營區,左營,2017/06/25,"臭氧 O3 (ppb)",16,16,15,14,6,2.5,13,22,23,27,22,23,24,24,22,22,23,19,17,16,18,17,16,17
72,高雄市,左營區,左營,2017/06/25,"細懸浮微粒 PM 2.5  (μg/m 3 )",1,1,1,1,1,3,11,6,4,1,1,1,2,5,1,1,3,5,4,1,2,1,5,6
73,高雄市,左營區,左營,2017/06/25,"非甲烷碳氫化合物 NMHC (ppm)",0.04,0.03,0.03,0.03,0.17,0.57,0.12,0.05,0.04,0.05,0.24,0.14,0.19,0.12,0.46,0.61,0.37,0.32,0.23,0.28,0.29,0.28,0.29,0.26
74,高雄市,左營區,左營,2017/06/25,"一氧化碳 CO (ppm)",0.08,0.07,0.07,0.06,0.15,0.27,0.18,0.14,0.11,0.11,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.12,0.15,0.11,0.13,0.14,0.1
75,高雄市,左營區,左營,2017/06/25,"一氧化氮 NO (ppb)",0.3,0.4,0.2,0.3,1.7,7,2.8,1.8,1.8,1,0.8,0.9,0.8,0.6,0.7,0.9,0.9,0.6,0.6,0.6,0.5,0.5,0.7,0.4
76,高雄市,左營區,左營,2017/06/25,"二氧化氮 NO2 (ppb)",5.1,4.4,4.5,5.1,14,17,10,6.6,5.1,4.3,3.4,3.5,2.7,2.3,2.8,3.8,3.6,3.9,5.1,6.4,5.4,6.1,6.4,4.6
77,高雄市,左營區,左營,2017/06/25,"相對濕度 RH (percent)",75,77,80,80,80,81,78,74,70,69,68,69,69,67,65,68,68,69,71,74,74,74,76,75
78,高雄市,左營區,左營,2017/06/25,"懸浮微粒 PM 10  (μg/m 3 )",28,26,24,28,26,34,33,28,17,16,25,23,28,18,28,21,30,23,30,26,32,28,27,22
79,高雄市,左營區,左營,2017/06/25,"甲烷 CH4 (ppm)",1.8,1.8,1.8,1.8,1.9,2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
80,高雄市,左營區,左營,2017/06/25,"風速 WIND_SPEED (m/sec)",0.9,0.9,0.6,0.5,1.7,1.1,1.3,2,2.4,3,3,3.2,3.7,2.7,3.5,2.9,3.2,2.7,2.3,1.8,1.7,1.4,1.5,1.9
81,高雄市,左營區,左營,2017/06/25,"溫度 AMB_TEMP (℃)",30,29,29,29,29,29,30,30,31,32,32,32,32,32,32,32,32,31,31,30,30,30,30,30
82,高雄市,左營區,左營,2017/06/25,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,2,2.5,2,1.9,1.8,1.8,2,1.9,2,1.9,2.2,2.4,2.1,2.1,2,2,2.1,2.1,2.1,2
83,高雄市,左營區,左營,2017/06/25,"小時風速值 WS_HR (m/sec)",0.9,0.6,0.6,0.4,1.2,1.2,1.1,0.7,1.1,1.9,2.5,2.5,3.1,3.5,3,2.5,2.5,2.7,1.9,1.4,1.5,1.3,1.2,1.2
84,高雄市,左營區,左營,2017/06/25,"小時風向值 WD_HR (degrees)",296,310,303,348,38,33,45,313,304,292,304,297,294,291,287,276,275,277,267,265,247,246,242,251
85,高雄市,左營區,左營,2017/06/25,"二氧化硫 SO2 (ppb)",3.7,2.3,2.3,2.1,2.7,7,3.5,2.6,2.5,2.5,2,1.9,2.1,1.8,2.3,2.8,2,1.7,1.7,2.2,2.1,2.5,2.1,2.3
86,高雄市,左營區,左營,2017/06/23,"氮氧化物 NOx (ppb)",9,8.8,7.3,6.3,13,24,25,11,7.2,8.8,8,8.4,6.1,6.5,7.6,9.2,7.6,8.9,8.4,9.8,8.8,11,17,14
87,高雄市,左營區,左營,2017/06/23,"風向 WIND_DIREC (degrees)",325,285,291,321,335,13,309,303,293,299,213,290,258,248,272,271,293,264,314,328,341,29,327,263
88,高雄市,左營區,左營,2017/06/23,"臭氧 O3 (ppb)",12,12,10,9.3,5.8,2.4,6.4,14,16,19,24,23,25,27,25,28,37,23,20,18,19,16,9.7,13
89,高雄市,左營區,左營,2017/06/23,"細懸浮微粒 PM 2.5  (μg/m 3 )",1,8,9,9,8,11,,12,13,11,12,7,2,8,9,9,7,16,12,9,3,,8,7
90,高雄市,左營區,左營,2017/06/23,"非甲烷碳氫化合物 NMHC (ppm)",0.02,0.01,0.02,0.03,0.02,0.08,0.12,0.01,0,0,0.02,0.03,0.08,0.32,1.49,5.37,10.07,,0.49,0.2,0.16,0.2,0.29,0.3
91,高雄市,左營區,左營,2017/06/23,"一氧化碳 CO (ppm)",0.12,0.1,0.1,0.11,0.11,0.22,0.21,0.13,0.11,0.09,0.12,0.13,0.12,0.19,0.28,0.14,0.12,0.12,0.11,0.16,0.18,0.23,0.32,0.24
92,高雄市,左營區,左營,2017/06/23,"一氧化氮 NO (ppb)",0.8,0.8,0.9,0.7,1.3,7.5,9.8,3.1,2,2.5,2,2.3,1.4,1.5,1.4,1.7,1.2,0.5,0.8,0.9,1,1.1,1.1,0.8
93,高雄市,左營區,左營,2017/06/23,"二氧化氮 NO2 (ppb)",8.2,8,6.4,5.6,12,16,15,7.4,5.2,6.3,6,6.1,4.8,5,6.1,7.5,6.4,8.5,7.6,8.9,7.8,9.9,16,14
